variable,PC1,PC2,PC3,familia
densidad_poblacion,0.7284819369618184,0.4299581163120187,0.47858203192174015,Socioeconómica
nivel_formativo_terciario,0.4778697032779312,-0.5814926865813841,0.570522111215224,Socioeconómica
corine_compat_media_0_3,-0.03538215284578857,0.586503328590636,0.35466392943894404,CORINE
logistica_road_alta_capacidad_km_por_1000km2,0.8012164663305721,0.42647449325835884,0.2524072447914802,Logística
logistica_places_n_por_1000km2,0.8021678111554184,0.01042507137884894,-0.4326352844201415,Logística
pvgis_produccion_anual_kwh_kwp,-0.5813048492491474,0.6637138246920797,0.2740861433765057,PVGIS
pvgis_perdidas_totales_pct,0.7194481271202553,-0.3476789801590689,-0.08508626856355682,PVGIS
pvgis_coef_variacion_mensual,0.5236624399468914,-0.4315115631689928,-0.3744770229747486,PVGIS
ambiental_densidad_sitios_1000km2,0.2731925946825725,-0.4829663883333703,0.5432676457385905,Ambiental
ambiental_penalizacion_media_0_1,-0.1534899157724241,-0.48583996887261555,0.7068368804919692,Ambiental
electrica_densidad_alta_tension_km_1000km2,0.7269376357281725,0.27782992023689274,0.39705117570788,Eléctrica
electrica_densidad_subestaciones_1000km2,0.6781751963771219,0.5961763073506392,-0.21273768575277172,Eléctrica
digital_data_centers_osm_n,0.44287069657117234,0.07874103994689838,0.3396014126144607,Digital
digital_torres_mastiles_1000km2,0.6797614760158079,0.6099121328709505,-0.22319672393134068,Digital
digital_exchanges_centrales_telecom_1000km2,0.4901810546411705,0.6450971798282816,0.2365721745018546,Digital
precipitation_daily_mean_mm_2024_2025,0.6528593928279743,-0.5276260425508694,-0.4355070662773755,Climática
temperatura_media_2m_c,-0.4101885744707223,0.842705275374308,0.027450468270596,Climática
punto_rocio_medio_c,0.2960609405806132,0.7048977376965327,-0.2898860336412071,Climática
hidrica_wei_area_estres_grave_pct_territorio_2019_2023,-0.6529193405939021,0.5144139362690731,-0.05393447573052341,Hídrica
