ranking_singularidad,codigo_geo,nombre_territorio,pais,score_anomalia,singular,veces_singular,frecuencia,cont_05,cont_10,cont_15,n_umbrales
1,PT1A,Grande Lisboa,Portugal,0.04079800289231117,True,5,1.0,True,True,True,3
2,PT1B,Península de Setúbal,Portugal,0.0017758671191042685,True,4,0.8,True,True,True,3
3,ES30,Comunidad de Madrid,España,0.00011338469976451826,True,3,0.6,False,True,True,2
4,PT15,Algarve,Portugal,-0.0010204622978806643,False,3,0.6,False,False,True,1
5,PT1C,Alentejo,Portugal,-0.0031617610141200236,False,0,0.0,False,False,False,0
6,ES43,Extremadura,España,-0.003278657681129671,False,0,0.0,False,False,False,0
7,ES61,Andalucía,España,-0.011018904232580118,False,0,0.0,False,False,False,0
8,ES42,Castilla-La Mancha,España,-0.02569810666832789,False,0,0.0,False,False,False,0
9,PT11,Norte,Portugal,-0.02647220726703925,False,0,0.0,False,False,False,0
10,ES62,Región de Murcia,España,-0.026947159909609997,False,0,0.0,False,False,False,0
11,ES21,País Vasco,España,-0.028339001886733106,False,0,0.0,False,False,False,0
12,ES13,Cantabria,España,-0.033956033933652596,False,0,0.0,False,False,False,0
13,PT1D,Oeste e Vale do Tejo,Portugal,-0.03413799112099808,False,0,0.0,False,False,False,0
14,ES11,Galicia,España,-0.036185603737713845,False,0,0.0,False,False,False,0
15,ES12,Principado de Asturias,España,-0.04199354480303541,False,0,0.0,False,False,False,0
16,ES22,Comunidad Foral de Navarra,España,-0.04897795335778743,False,0,0.0,False,False,False,0
17,ES23,La Rioja,España,-0.053306945205675915,False,0,0.0,False,False,False,0
18,PT19,Centro (PT),Portugal,-0.0533544417068324,False,0,0.0,False,False,False,0
19,ES41,Castilla y León,España,-0.060862990666818606,False,0,0.0,False,False,False,0
20,ES52,Comunitat Valenciana ,España,-0.0647385778326004,False,0,0.0,False,False,False,0
21,ES24,Aragón,España,-0.07334205780765263,False,0,0.0,False,False,False,0
22,ES51,Cataluña,España,-0.0768433958649179,False,0,0.0,False,False,False,0
